timestamp,frame_index,capture_ms,engagement_detection_ms,object_detection_ms,memory_write_ms,smoothing_ms,state_machine_ms,command_build_ms,godot_udp_send_ms,total_loop_ms,fps,state,state_elapsed_s,raw_engagement_status,raw_engagement_confidence,raw_engagement_reason,smoothed_engagement_status,smoothed_engagement_confidence,smoothed_engagement_reason,face_bbox,face_area_ratio,raw_face_count,candidate_count,selected_face_score,object_count,memory_write_count,memory_duplicate_skip_count,consecutive_engaged,consecutive_disengaged,consecutive_absent
2026-06-18T11:58:54.310,0,21.109,1418.466,,,3.804,0.034,0.048,,1443.503,0.69,idle,3.782,engaged,0.785,face_centered,engaged,0.785,face_centered,"(570, 340, 302, 302)",0.099,3,1,0.463,0,0,0,1,0,0
2026-06-18T11:58:54.599,1,1.7,272.818,,,0.101,0.028,0.045,,275.004,0.99,engaged,0.0,engaged,0.826,face_centered,engaged,0.805,face_centered,"(568, 328, 307, 307)",0.1023,3,1,0.894,0,0,0,2,0,0
2026-06-18T11:58:54.808,2,1.837,204.915,,,0.131,0.033,0.054,,207.285,1.37,engaged,0.219,engaged,0.887,face_centered,engaged,0.833,face_centered,"(587, 197, 294, 294)",0.0938,1,1,0.669,0,0,0,3,0,0
2026-06-18T11:58:54.969,3,1.476,157.425,,,0.101,0.025,0.046,,159.358,1.86,engaged,0.375,engaged,0.889,face_centered,engaged,0.847,face_centered,"(570, 273, 249, 249)",0.0673,1,1,0.735,0,0,0,4,0,0
2026-06-18T11:58:55.118,4,1.59,144.615,,,0.116,0.028,0.048,,146.701,2.36,engaged,0.531,engaged,0.682,face_centered,engaged,0.814,face_centered,"(648, 424, 232, 232)",0.0584,2,1,0.455,0,0,0,5,0,0
2026-06-18T11:58:55.279,5,1.807,156.517,,,0.079,0.021,0.031,,158.739,2.75,engaged,0.687,disengaged,0.562,face_high_or_low,engaged,0.814,face_centered,"(657, 489, 209, 209)",0.0474,2,1,0.545,0,0,0,6,0,0
2026-06-18T11:58:55.398,6,1.615,115.973,,,0.155,0.035,0.071,,118.151,3.32,engaged,0.812,absent,0.0,no_face_detected,engaged,0.814,face_centered,"(657, 489, 209, 209)",0.0474,0,0,0.545,0,0,0,7,0,0
2026-06-18T11:58:55.510,7,1.639,108.425,,,0.102,0.024,0.046,,110.524,3.89,engaged,0.922,engaged,0.681,face_centered,engaged,0.793,face_centered,"(657, 434, 211, 211)",0.0483,1,1,0.572,0,0,0,8,0,0
2026-06-18T11:58:55.664,8,1.664,146.06,,,0.099,0.024,0.041,,148.22,4.18,engaged,1.078,engaged,0.783,face_centered,engaged,0.784,face_centered,"(637, 321, 213, 213)",0.0492,1,1,0.484,0,0,0,9,0,0
2026-06-18T11:58:55.814,9,1.759,146.812,,,0.138,0.031,0.051,,149.091,4.43,engaged,1.219,engaged,0.8,face_centered,engaged,0.767,face_centered,"(642, 322, 218, 218)",0.0516,2,1,0.778,0,0,0,10,0,0
2026-06-18T11:58:55.955,10,1.472,136.626,,,0.117,0.024,0.047,,138.514,4.71,engaged,1.375,engaged,0.654,face_centered,engaged,0.72,face_centered,"(691, 422, 202, 202)",0.0443,2,1,0.412,0,0,0,11,0,0
2026-06-18T11:58:56.077,11,1.605,117.93,,,0.107,0.024,0.047,,120.049,5.07,engaged,1.484,engaged,0.749,face_centered,engaged,0.733,face_centered,"(623, 380, 197, 197)",0.0421,2,1,0.486,0,0,0,12,0,0
2026-06-18T11:58:56.249,12,1.971,167.842,,,0.073,0.014,0.032,,170.262,5.15,engaged,1.656,engaged,0.794,face_centered,engaged,0.743,face_centered,"(582, 379, 201, 201)",0.0438,1,1,0.644,0,0,0,13,0,0
2026-06-18T11:58:56.381,13,1.344,128.918,,,0.117,0.038,0.048,,130.69,5.4,engaged,1.797,engaged,0.767,face_centered,engaged,0.747,face_centered,"(590, 407, 195, 195)",0.0413,1,1,0.663,0,0,0,14,0,0
2026-06-18T11:58:56.531,14,1.75,145.52,,,0.094,0.015,0.035,,147.708,5.54,engaged,1.937,engaged,0.825,face_centered,engaged,0.767,face_centered,"(554, 364, 189, 189)",0.0388,1,1,0.569,0,0,0,15,0,0
2026-06-18T11:58:56.695,15,1.615,158.736,,,0.105,0.024,0.045,,160.752,5.61,engaged,2.109,engaged,0.864,face_centered,engaged,0.779,face_centered,"(528, 320, 196, 196)",0.0417,2,1,0.639,0,0,0,16,0,0
2026-06-18T11:58:56.846,16,1.944,145.089,,,0.122,0.043,0.06,,147.569,5.72,engaged,2.25,engaged,0.886,face_centered,engaged,0.791,face_centered,"(533, 313, 199, 199)",0.043,2,1,0.781,0,0,0,17,0,0
2026-06-18T11:58:56.990,17,1.71,140.873,,,0.114,0.026,0.042,,143.075,5.85,engaged,2.406,engaged,0.888,face_centered,engaged,0.825,face_centered,"(543, 317, 193, 193)",0.0404,1,1,0.775,0,0,0,18,0,0
2026-06-18T11:58:57.135,18,1.593,140.845,,,0.119,0.031,0.044,,142.877,5.97,engaged,2.547,engaged,0.869,face_centered,engaged,0.842,face_centered,"(565, 312, 198, 198)",0.0425,1,1,0.719,0,0,0,19,0,0
