timestamp,frame_index,capture_ms,engagement_detection_ms,smoothing_ms,state_machine_ms,command_build_ms,godot_udp_send_ms,total_loop_ms,fps,state,state_elapsed_s,raw_engagement_status,raw_engagement_confidence,raw_engagement_reason,smoothed_engagement_status,smoothed_engagement_confidence,smoothed_engagement_reason,face_bbox,face_area_ratio,raw_face_count,candidate_count,selected_face_score,consecutive_engaged,consecutive_disengaged,consecutive_absent
2026-06-17T23:56:47.958,0,316.99,408.191,4.362,0.036,0.26,1.018,729.931,1.37,idle,1.313,engaged,0.809,face_centered,engaged,0.809,face_centered,"(545, 358, 209, 209)",0.0474,2,2,0.338,1,0,0
2026-06-17T23:56:48.195,1,6.835,133.362,0.092,0.02,0.037,0.165,141.434,1.94,engaged,0.0,engaged,0.825,face_centered,engaged,0.817,face_centered,"(560, 365, 199, 199)",0.043,2,2,0.727,2,0,0
2026-06-17T23:56:48.498,2,5.768,280.757,0.102,0.02,0.039,0.165,287.346,2.09,engaged,0.297,engaged,0.829,face_centered,engaged,0.821,face_centered,"(559, 364, 200, 200)",0.0434,2,2,0.765,3,0,0
2026-06-17T23:56:48.671,3,4.041,146.352,0.184,0.021,0.039,0.165,151.498,2.54,engaged,0.469,engaged,0.829,face_centered,engaged,0.823,face_centered,"(558, 363, 204, 204)",0.0452,2,2,0.767,4,0,0
2026-06-17T23:56:48.866,4,13.028,160.861,0.082,0.053,0.123,0.165,174.82,2.86,engaged,0.672,engaged,0.834,face_centered,engaged,0.825,face_centered,"(555, 361, 206, 206)",0.046,2,2,0.771,5,0,0
2026-06-17T23:56:49.060,5,5.773,166.434,0.111,0.024,0.048,0.165,173.223,3.15,engaged,0.859,engaged,0.832,face_centered,engaged,0.826,face_centered,"(555, 362, 208, 208)",0.0469,2,2,0.773,6,0,0
2026-06-17T23:56:49.285,6,11.558,186.123,0.169,0.028,0.051,0.257,199.324,3.34,engaged,1.078,engaged,0.832,face_centered,engaged,0.827,face_centered,"(553, 364, 203, 203)",0.0447,3,2,0.757,7,0,0
2026-06-17T23:56:49.494,7,15.31,170.341,0.241,0.044,0.099,0.257,187.068,3.54,engaged,1.297,engaged,0.823,face_centered,engaged,0.827,face_centered,"(561, 369, 194, 194)",0.0408,2,2,0.739,8,0,0
2026-06-17T23:56:49.661,8,11.11,136.659,0.133,0.023,0.05,0.257,149.035,3.86,engaged,1.469,engaged,0.833,face_centered,engaged,0.827,face_centered,"(555, 360, 208, 208)",0.0469,2,2,0.764,9,0,0
2026-06-17T23:56:49.900,9,14.688,204.395,0.13,0.026,0.045,0.257,220.26,3.93,engaged,1.703,engaged,0.828,face_centered,engaged,0.829,face_centered,"(560, 363, 200, 200)",0.0434,3,3,0.758,10,0,0
